SECTOR_NAME,DATE1,TOTAL_TRADED_VALUE,TTL_TRD_QNTY,DELIV_QTY,AVG_PRICE,Month,Growth_rate
Commodities,2024-02-01,97475202566.28,250568147,88392945,389.01673550022304,2,
Consumer Discretionary,2024-02-01,169241018303.43,372050106,158997168,454.8877034950502,2,
Energy,2024-02-01,57183958981.490005,146986339,68601388,389.0426781871886,2,
Financial Services,2024-02-01,321875958104.87,1769995161,478092694,181.85132095108028,2,
Industrials,2024-02-01,141954847271.53,435659780,133624626,325.8387709591415,2,
Commodities,2024-02-02,111215733710.2,427911424,178587862,259.90363302429614,2,14.096437639692905
Consumer Discretionary,2024-02-02,162632960756.67,431438052,200335568,376.95553278798417,2,-3.9045248090580964
Energy,2024-02-02,119369444140.8,330311947,114164371,361.38397422482575,2,108.74637969616434
Financial Services,2024-02-02,311212859164.68,1549212267,500195167,200.88458230926207,2,-3.312797576734783
Industrials,2024-02-02,163910881805.76,524468496,147482221,312.5276028128866,2,15.466914273263743
Commodities,2024-02-05,121236327739.21,458655635,176502505,264.3297465193249,2,9.010050731779673
Consumer Discretionary,2024-02-05,160595618963.27,344862684,156008757,465.679896417178,2,-1.252723792225785
Energy,2024-02-05,102424083605.94,321291542,113016819,318.78860852782736,2,-14.195727103221166
Financial Services,2024-02-05,326699826090.2,1893948502,587802267,172.49667862943826,2,4.97632616052186
Industrials,2024-02-05,123522320169.74,399203145,158700019,309.42221201624045,2,-24.64056149968239
Commodities,2024-02-06,100899836165.15,366914650,143638889,274.9953869793697,2,-16.77425566518774
Consumer Discretionary,2024-02-06,122841759831.24,377311819,161666840,325.5709300514649,2,-23.508648228233863
Energy,2024-02-06,101258993168.4,299627631,91238321,337.94945022410167,2,-1.137516096333846
Financial Services,2024-02-06,314759547618.07,2047479150,558814656,153.73028224393397,2,-3.654816292688612
Industrials,2024-02-06,103520662023.94,293115673,111864403,353.1734109077818,2,-16.192748094688014
Commodities,2024-02-07,105009454969.1,326074385,125016420,322.04141079373653,2,4.072968758069639
Consumer Discretionary,2024-02-07,155890772194.49,439799576,194822774,354.45866867886656,2,26.903727534229983
Energy,2024-02-07,81436571515.06,224865884,79672309,362.1561886864972,2,-19.575961633722827
Financial Services,2024-02-07,389290631999.54,3231431846,824589889,120.47001160845154,2,23.67873665643534
Industrials,2024-02-07,81604851742.66,201650177,82069609,404.6852472768224,2,-21.170469597858432
Commodities,2024-02-08,77175359256.46,202948600,81993018,380.2704687613514,2,-26.50627576424469
Consumer Discretionary,2024-02-08,170132250643.88,451787410,194906959,376.57590025335145,2,9.135549365053052
Energy,2024-02-08,89401612916.82,218082635,72103745,409.9437486933337,2,9.780668873427523
Financial Services,2024-02-08,450160619797.76,3338005240,831788806,134.8591711011694,2,15.636129614927885
Industrials,2024-02-08,111295219447.56,201186049,82711257,553.1955123168605,2,36.38309128791537
Commodities,2024-02-09,99309524672.92,287985594,92650862,344.8419877312336,2,28.680352938696863
Consumer Discretionary,2024-02-09,172355305808.83,557986952,212234842,308.88769923930045,2,1.3066629968960353
Energy,2024-02-09,84180631335.23,238198749,76192853,353.40501026405474,2,-5.839918779147368
Financial Services,2024-02-09,357496945724.1,2616720835,560057135,136.62020837010684,2,-20.584580258328742
Industrials,2024-02-09,112982199893.12,286382664,98746838,394.5148016819901,2,1.5157708066291908
Commodities,2024-02-12,83153367046.99,282222149,111752593,294.637991176908,2,-16.268487518333174
Consumer Discretionary,2024-02-12,138700142190.99,422309334,145426699,328.4325754234691,2,-19.526618841179765
Energy,2024-02-12,63261088594.82001,180654368,62604140,350.1774648195609,2,-24.850779102740063
Financial Services,2024-02-12,256912421437.62,1497522692,523955656,171.55828276264944,2,-28.13577164491542
Industrials,2024-02-12,99748085954.31,245016712,96197191,407.10727501032665,2,-11.71345039424735
Commodities,2024-02-13,94028089469.05,297507627,101741189,316.052702302822,2,13.077909901008212
Consumer Discretionary,2024-02-13,117602445685.34,292559264,108366909,401.9781977758189,2,-15.211012888940289
Energy,2024-02-13,59025401106.86,149924126,49235684,393.7018189244605,2,-6.695565286726413
Financial Services,2024-02-13,289269357203.99,1384277847,342742345,208.9676995343768,2,12.594539254002735
Industrials,2024-02-13,111253344008.09,321842827,81649870,345.6760091412259,2,11.534314612362607
Commodities,2024-02-14,82669775921.93001,299871207,93057354,275.6842737553326,2,-12.07970257745018
Consumer Discretionary,2024-02-14,109010079008.87,224330502,91453298,485.9351627932879,2,-7.306282302546618
Energy,2024-02-14,78311108384.01999,209933837,73518574,373.0275666995978,2,32.67357258995158
Financial Services,2024-02-14,290988218188.37,1158781773,323103054,251.11563278651087,2,0.5942077657288491
Industrials,2024-02-14,90765428064.25,222150126,68330864,408.5769821451733,2,-18.41555067535784
Commodities,2024-02-15,114975172405.48,437830122,157890541,262.6022437201797,2,39.07763886291151
Consumer Discretionary,2024-02-15,127051640785.99,262360582,115457243,484.2634507724564,2,16.550361160321692
Energy,2024-02-15,119386334555.5,329562872,88517235,362.25662748654526,2,52.45134058128302
Financial Services,2024-02-15,242159538965.45,1151547037,360580964,210.290618780386,2,-16.780294242466866
Industrials,2024-02-15,69444863040.53,158420686,58863815,438.3572928129474,2,-23.489742161109895
Commodities,2024-02-16,104944244918.82,368888452,117957090,284.4877478539773,2,-8.724429176139148
Consumer Discretionary,2024-02-16,136339118167.11,296648872,116604917,459.5976288327501,2,7.310001920214582
Energy,2024-02-16,100329553019.89,254607315,78484857,394.0560506672402,2,-15.962280445716281
Financial Services,2024-02-16,232543806166.16,1011814867,356498388,229.828414021673,2,-3.970825531123068
Industrials,2024-02-16,90410707284.47,186752278,76601464,484.1210412676733,2,30.190633728665773
Commodities,2024-02-19,63432766746.39,195717796,64794363,324.10321413179,2,-39.55574524790889
Consumer Discretionary,2024-02-19,112866387731.15,217827055,92261881,518.1467826902862,2,-17.216431169218527
Energy,2024-02-19,71182274575.15,185448930,52373158,383.83761273332766,2,-29.051538223200946
Financial Services,2024-02-19,201040001768.84,951687809,390378602,211.24574662786293,2,-13.54747086869711
Industrials,2024-02-19,77417403462.23,191617339,65982295,404.0208671420388,2,-14.371421496966752
Commodities,2024-02-20,70004690795.23,187988080,72549056,372.3889876168212,2,10.360456253020068
Consumer Discretionary,2024-02-20,137948981063.19,344854640,116160733,400.0206610622667,2,22.223262245078
Energy,2024-02-20,66119672049.24,156941523,55948061,421.3013279426376,2,-7.1121673985919065
Financial Services,2024-02-20,201937968269.03,847136511,293417281,238.3771277083228,2,0.44666061096760856
Industrials,2024-02-20,56503433445.62,146667935,59215057,385.24735106974816,2,-27.014558847628358
Commodities,2024-02-21,100622679283.37,333286339,124969339,301.9106021125276,2,43.73705267508483
Consumer Discretionary,2024-02-21,156213235658.11,399772419,152089947,390.7554104129179,2,13.239861907029038
Energy,2024-02-21,65959592477.84,134303617,51266824,491.1229790470945,2,-0.2421058157711209
Financial Services,2024-02-21,244847432628.33,1104008313,365860540,221.780424789546,2,21.248834346067234
Industrials,2024-02-21,84169593970.88,164303244,67581820,512.2819971277013,2,48.9636803255265
Commodities,2024-02-22,77546105119.07,261145556,81876865,296.9459113409918,2,-22.93377032757452
Consumer Discretionary,2024-02-22,138827650756.18,261782200,96074412,530.3173812282882,2,-11.12939299201271
Energy,2024-02-22,77510784263.42,153845715,53270806,503.8215348631582,2,17.512527521240795
Financial Services,2024-02-22,229101326186.75,1234942761,352602432,185.51574487649472,2,-6.4309869507523265
Industrials,2024-02-22,106705978488.15,210821122,73247251,506.14462856406766,2,26.77497116722085
Commodities,2024-02-23,61526699273.12,162591427,70083031,378.4129360837703,2,-20.657911601559654
Consumer Discretionary,2024-02-23,124281640391.8,222485683,101572051,558.605114342571,2,-10.477747253626612
Energy,2024-02-23,53783000346.88,102215456,44053105,526.1728749405569,2,-30.61223562891745
Financial Services,2024-02-23,202537197221.46,937274033,345556732,216.09176195054152,2,-11.59492588167581
Industrials,2024-02-23,103412890695.62,229047515,79445212,451.4909960739805,2,-3.0861324165596837
Commodities,2024-02-26,58285531917.68,171424838,71504522,340.0063409578955,2,-5.267903842935406
Consumer Discretionary,2024-02-26,123230986804.74,214385304,93798480,574.8107939560074,2,-0.8453811711430559
Energy,2024-02-26,61094037249.87,131212377,50687143,465.6118473478306,2,13.593583206285608
